Film,Film Länge (Min),Sektion,Sprache,Untertitel,Screening Count,Has Evening/Weekend Screening,Screenings,IMDb Rating,IMDb Votes,Director,Stars,Genre,First Release Year,Plot,Awards,IMDb Search Link
DEREK VS. DEREK,88.0,NOW/FUTURE,Englisch,de,3,No,25.09.2026 17:45-19:18 @ KINOKONI 2 | 28.09.2026 17:30-19:23 @ KINOKONI 2 | 29.09.2026 13:00-14:53 @ Arthouse Piccadilly,8.3,17,James Dawson,"Derek Banbury, Derek Gow",Documentary,2026,"Follows two implacably opposed neighboring farmers in Devon, England, both named Derek. One believes in intensive farming while the other creates an oasis for nature, driven by opposing perceptions of agriculture.",1 nomination total,https://www.imdb.com/find?q=DEREK%20VS.%20DEREK&s=tt
DUA,101.0,Spielfilm- Wettbewerb,"Albanisch, Serbisch","en, de",4,Yes,02.10.2026 18:00-19:46 @ KINOKONI 3 | 03.10.2026 20:30-22:16 @ KINOKONI 6 | 28.09.2026 17:45-19:51 @ KINOKONI 6 | 29.09.2026 15:15-17:21 @ KINOKONI 6,8.2,93,Marjan Gavrilovski,"Mirsad Abazi, Flakron Aliu, Atanas Atanasovski","Comedy, Crime, Drama",2023,"A junkie, a gambler and an accordion player get involved with a mafia while on their way to return a bought Albanian girl back to her father.",N/A,https://www.imdb.com/find?q=DUA&s=tt
TIME AND WATER,94.0,NOW/FUTURE,"Englisch, Isländisch",de,3,Yes,02.10.2026 16:00-17:39 @ KINOKONI 1 | 24.09.2026 18:00-19:39 @ KINOKONI 1 | 27.09.2026 15:45-17:24 @ Corso 4,8.2,34,Sara Dosa,Andri Snær Magnason,"Documentary, Family, Sci-Fi",2026,"An Icelandic writer preserves vanishing glaciers, departed grandparents, family memories, and flowing time in his personal archives, transforming loss into a time capsule.",N/A,https://www.imdb.com/find?q=TIME%20AND%20WATER&s=tt
ONE IN A MILLION,105.0,Dokumentarfilm- Wettbewerb,"Arabisch, Deutsch, Englisch","en, de",4,Yes,03.10.2026 17:45-19:35 @ KINOKONI 3 | 27.09.2026 21:00-23:10 @ KINOKONI 3 | 28.09.2026 17:30-19:40 @ Corso 4 | 29.09.2026 15:00-16:50 @ KINOKONI 3,8.0,31,N/A,N/A,"Documentary, Biography",2026,"A Syrian girl's decade-long journey to Germany and back, as she and her family face the challenges of war and life as refugees, showing both the hardships and hopes of starting anew.",2 wins & 1 nomination total,https://www.imdb.com/find?q=ONE%20IN%20A%20MILLION&s=tt
PERFECT ROAD,91.0,Dokumentarfilm- Wettbewerb,"Englisch, Französisch","en, de",4,Yes,03.10.2026 13:00-14:36 @ Corso 4 | 25.09.2026 18:15-20:16 @ KINOKONI 6 | 26.09.2026 16:00-17:56 @ Corso 4 | 29.09.2026 15:30-17:06 @ Arthouse Piccadilly,8.0,2243,Phil Churchward,"Jeremy Clarkson, Richard Hammond, The Stig","Documentary, Comedy",2014,"Join the dynamic motoring duo as they face all sorts of challenges and stunts on their quest for the perfect road trip, which culminates in a strangely literal car race on the island of Capri. This time it really is perfect. Except for the bits that aren't.",N/A,https://www.imdb.com/find?q=PERFECT%20ROAD&s=tt
QUEEN AT SEA,121.0,Gala Premieren,Englisch,"de, fr",3,Yes,26.09.2026 18:00-20:26 @ Arthouse Le Paris | 27.09.2026 15:30-17:36 @ KINOKONI 1 | 29.09.2026 20:15-22:21 @ Arthouse Piccadilly,7.9,52,Lance Hammer,"Noah Hunt Basden, Juliette Binoche, Anna Calder-Marshall",Drama,2026,"As dementia erodes a woman's ability to communicate her inner life, her husband and daughter struggle to act in her best interest, navigating love and the fragile boundaries between care, protection, and autonomy.",1 nomination total,https://www.imdb.com/find?q=QUEEN%20AT%20SEA&s=tt
BUGBOY,87.0,Dokumentarfilm- Wettbewerb,"Griechisch, Englisch","en, de",4,Yes,01.10.2026 20:30-22:02 @ Arthouse Piccadilly | 02.10.2026 13:30-15:02 @ KINOKONI 3 | 27.09.2026 18:30-20:22 @ KINOKONI 3 | 28.09.2026 18:30-20:22 @ KINOKONI 3,7.8,20,Lucas Paleocrassas,N/A,Documentary,2026,"George, a shy teenager with misaligned eyes, struggles to connect with others after his parents' divorce. Finding refuge in the world of insects, he bonds with a cricket named Isabella. Through a portrait of transformation and self-discovery, the film reminds us that even the smallest creatures can help us find where we belong.",1 nomination total,https://www.imdb.com/find?q=BUGBOY&s=tt
"HA-CHAN, SHAKE YOUR BOOTY!",122.0,Sounds,"Englisch, Japanisch, Spanisch",de,3,Yes,02.10.2026 20:45-22:52 @ KINOKONI 6 | 24.09.2026 20:45-22:52 @ KINOKONI 2 | 26.09.2026 17:45-19:52 @ Arena 4,7.8,101,Josef Kubota Wladyka,"Rinko Kikuchi, Alberto Guerra, Alejandro Edda","Comedy, Drama, Romance",2026,"Haru and Luis love competing in Tokyo's ballroom dance scene, but after tragedy strikes, Haru withdraws into isolation. When friends coax her back to the studio, she develops an infatuation with the new instructor.",1 win & 1 nomination total,https://www.imdb.com/find?q=HA-CHAN%2C%20SHAKE%20YOUR%20BOOTY%21&s=tt
VATERLAND,82.0,Gala Premieren,Deutsch,en,3,Yes,01.10.2026 18:30-20:17 @ Arthouse Le Paris | 02.10.2026 21:15-23:02 @ Arthouse Le Paris | 04.10.2026 18:00-19:27 @ Corso 1,7.8,5,Berthold Wahjudi,"Sarah Muckarin Röser, Aggai Saibuma",Short,2026,"When German-Indonesian Yanto (mid 20s) visits his younger sister in Yogyakarta, he expects a simple reunion - until he realises she belongs more effortlessly than he ever has. As envy and dissonance between siblings surface, Yantos journey becomes a bittersweet exploration of mixed-race identity.",1 win total,https://www.imdb.com/find?q=VATERLAND&s=tt
THE WEIGHT,115.0,Gala Premieren,Englisch,de,3,Yes,24.09.2026 21:00-23:10 @ Corso 1 | 25.09.2026 21:15-23:15 @ Arena 4 | 27.09.2026 20:45-22:45 @ Arena 4,7.7,656,Denis Mosquero Morante,"Yui Ishikawa, Yûki Kaji, Hiroshi Kamiya","Animation, Action, Adventure",2023,"It is the fourth film in the compilation saga. That collects from chapters 38 to 42 of the third season, and includes the óvulos of Levi ackerman",N/A,https://www.imdb.com/find?q=THE%20WEIGHT&s=tt
JOSEPHINE,114.0,Gala Premieren,Englisch,de,3,Yes,04.10.2026 15:15-17:14 @ Arthouse Le Paris | 27.09.2026 17:30-19:49 @ Corso 1 | 28.09.2026 20:45-23:04 @ KINOKONI 1,7.6,145,Ilana Navaro,"Léonie Simaga, Josephine Baker, Tracy Denean Sharpley-Whiting","Documentary, Biography",2018,"How did a poor little Black girl from Missouri become the Queen of Paris, before joining the French Resistance and finally creating her dream family ""The Rainbow Tribe"", adopting twelve children from four corners of the world? Thi...",N/A,https://www.imdb.com/find?q=JOSEPHINE&s=tt
MINOTAUR,140.0,Gala Premieren,Russisch,de,3,Yes,03.10.2026 20:30-22:55 @ Corso 2 | 24.09.2026 17:30-19:55 @ Arthouse Le Paris | 26.09.2026 13:00-15:25 @ Corso 2,7.6,55,Andrey Zvyagintsev,"Dmitriy Mazurov, Iris Lebedeva, Boris Kudrin","Crime, Drama, Thriller",2026,"When Gleb, a successful company director, finds himself under siege from mounting corporate pressures, an increasingly unstable world, and the discovery of his wife's affair, the collapse of his carefully ordered life accelerates toward violence.",2 nominations total,https://www.imdb.com/find?q=MINOTAUR&s=tt
LES MISéRABLES,178.0,Gala Premieren,Französisch,de,2,Yes,02.10.2026 17:30-20:33 @ Arthouse Le Paris | 04.10.2026 14:00-17:03 @ Corso 1,7.6,30195,Ladj Ly,"Damien Bonnard, Alexis Manenti, Djebril Zonga","Crime, Drama, Thriller",2019,"Assigned to work alongside unethical police veterans Chris (Alexis Manenti) and Gwada (Djebril Zonga) in Paris' Anti-Crime Brigade, Brigadier Stéphane Ruiz (Damien Bonnard) - a recent transplant to the working-class suburb of Montfermeil, where Victor Hugo wrote his famous novel Les Misérables - struggles to establish a working relationship with influential community leaders while attempting to maintain some semblance of peace between his disreputable team and the citizens of the local housing projects. When what should be a simple arrest goes tragically awry, the three officers must individually reconcile with the aftermath of their actions while angling to keep the neighborhood from retaliating with mob violence. Beginning as a Cesar-winning short film, the film was inspired by the 2005 riots in Paris. It was selected to compete for the Palme d'Or at the 2019 Cannes Film Festival, where it won the Jury Prize (in a tie with BACURAU) and was selected as France's entry for Best International Feature Film at the 92nd Academy Awards.",Nominated for 1 Oscar. 24 wins & 61 nominations total,https://www.imdb.com/find?q=LES%20MIS%C3%A9RABLES&s=tt
WICKER,105.0,Gala Premieren,Englisch,"de, fr",3,Yes,02.10.2026 21:15-23:05 @ Kongresssaal | 28.09.2026 21:15-23:30 @ Kongresssaal | 30.09.2026 18:45-20:35 @ Kongresssaal,7.5,232,"Alex Huston Fischer, Eleanor Wilson","Alexander Skarsgård, Olivia Colman, Elizabeth Debicki","Comedy, Drama, Fantasy",2026,"An ostracized fisherwoman commissions the local basketmaker to weave her a husband, but when her wicker creation proves unexpectedly extraordinary, his presence ignites jealousy and upheaval that threatens their quiet village.",N/A,https://www.imdb.com/find?q=WICKER&s=tt
FINDING CONNECTION,86.0,Hashtag #artificialintelligenc e,"Englisch, Deutsch","Englisch, Deutsch",3,Yes,24.09.2026 18:45-20:16 @ KINOKONI 2 | 25.09.2026 19:00-20:31 @ Corso 3 | 28.09.2026 15:00-16:31 @ Corso 3,7.4,8,Florian Karner,N/A,Documentary,2026,"In a world where digital distance reshapes human bonds, genuine closeness has become a fragile treasure. Finding Connection follows those yearning for trust and emotional intimacy, to discover an unexpected anchor in the algorithms of AI.",1 nomination total,https://www.imdb.com/find?q=FINDING%20CONNECTION&s=tt
NOUVELLE VAGUE,107.0,Retrospektive: Richard Linklater,"Französisch, Englisch",de,1,Yes,26.09.2026 18:30-20:22 @ Filmpodium,7.3,10037,Richard Linklater,"Guillaume Marbeck, Zoey Deutch, Aubry Dullin","Biography, Comedy, Drama",2025,"Nouvelle Vague is Oscar-nominated director Richard Linklater's love letter to the revolutionary magic of the French New Wave, reimagining the making of Jean-Luc Godard's Breathless, which ultimately cemented Godard as a pioneer of global cinema. As critic turned director Godard makes and breaks the rules, a mix of fresh faces and daring talents - including Zoey Deutch as Jean Seberg, Aubry Dullin as Jean-Paul Belmondo, and Guillaume Marbeck as Godard himself - bring his spontaneous, electric film to life. Capturing the youthful dynamism and creative chaos at the heart of one of the world's most beloved and influential movies, Nouvelle Vague transports us to the streets of 1959 Paris for an ode to the transformative power of cinema.",10 wins & 28 nominations total,https://www.imdb.com/find?q=NOUVELLE%20VAGUE&s=tt
EXTRAORDINARY,83.0,ZFF für Kinder,"Kroatisch, Deutsch live eingesprochen",,2,Yes,03.10.2026 11:00-12:48 @ KINOKONI 3 | 26.09.2026 13:15-14:43 @ Arena 3,7.1,3246,Richard Shepard,"Jane Levy, Skylar Astin, Alex Newell","Comedy, Drama, Fantasy",2021,"Following the Clarke family's first holiday together after their patriarch Mitch (Peter Gallagher) has passed away, Zoe (Jane Levy) attempts to recreate the perfect Christmas, but finds that walking a mile in her father's shoes is a lot more complicated than she ever imagined.",Nominated for 2 Primetime Emmys. 7 nominations total,https://www.imdb.com/find?q=EXTRAORDINARY&s=tt
THE DEBUT,105.0,Gala Premieren,Englisch,"de, fr",3,Yes,03.10.2026 18:30-20:20 @ Corso 1 | 25.09.2026 21:15-23:30 @ Kongresssaal | 30.09.2026 18:00-19:50 @ Arena 4,7.0,41,Julian Castronovo,Julian Castronovo,Documentary,2025,A young filmmaker discovers a trail of clues related to the disappearance of a skilled art forger known as Fawn Ma.,N/A,https://www.imdb.com/find?q=THE%20DEBUT&s=tt
A SCANNER DARKLY,100.0,Retrospektive: Richard Linklater,Englisch,de,1,Yes,30.09.2026 18:30-20:15 @ Filmpodium,7.0,121536,Richard Linklater,"Keanu Reeves, Winona Ryder, Robert Downey Jr.","Animation, Comedy, Crime",2006,"In a totalitarian society in a near future, the undercover detective Bob Arctor is working with a small time group of drug users trying to reach the big distributors of a brain-damaging drug called Substance D. His assignment is promoted by the recovery center New Path Corporation, and when Bob begins to lose his own identity and have schizophrenic behavior, he is submitted to tests to check his mental conditions.",4 wins & 21 nominations total,https://www.imdb.com/find?q=A%20SCANNER%20DARKLY&s=tt
RESCUE,82.0,NOW/FUTURE,"Arabisch, Englisch, Italienisch, Deutsch","en, de",3,Yes,02.10.2026 17:00-18:47 @ KINOKONI 2 | 26.09.2026 20:30-22:17 @ KINOKONI 2 | 30.09.2026 21:00-22:47 @ KINOKONI 2,6.9,49964,Akiva Schaffer,"Andy Samberg, John Mulaney, KiKi Layne","Animation, Action, Adventure",2022,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend.",Won 1 Primetime Emmy. 2 wins & 6 nominations total,https://www.imdb.com/find?q=RESCUE&s=tt
HOW TO DIVORCE DURING THE WAR,108.0,Spielfilm- Wettbewerb,"Litauisch, Englisch, Ukrainisch, Russisch","en, de",4,Yes,04.10.2026 18:30-20:23 @ Corso 4 | 27.09.2026 20:30-22:43 @ KINOKONI 1 | 29.09.2026 20:45-22:58 @ KINOKONI 6 | 30.09.2026 17:45-19:38 @ KINOKONI 6,6.8,222,Andrius Blazevicius,"Marius Repšys, Žygimante Elena Jakštaite, Amelija Adomaityte","Comedy, Drama",2026,"Set in Vilnius in 2022, high-flying executive Marija chooses the worst moment to discuss divorce with husband Vytas - one day before Russia's full-scale invasion of Ukraine. The couple navigates separation amid a refugee crisis.",3 wins & 3 nominations total,https://www.imdb.com/find?q=HOW%20TO%20DIVORCE%20DURING%20THE%20WAR&s=tt
THE MATCH,88.0,Dokumentarfilm- Wettbewerb,Englisch,de,4,Yes,02.10.2026 15:30-17:03 @ KINOKONI 6 | 24.09.2026 18:15-19:48 @ KINOKONI 3 | 29.09.2026 13:30-15:03 @ Corso 4 | 30.09.2026 20:30-22:03 @ KINOKONI 3,6.8,2490,Hyeong-ju Kim,"Lee Byung-hun, Yoo Ah-in, Ko Chang-seok","Biography, Drama, Sport",2025,"The true story of two legendary players of Go ('baduk'), Cho Hun Hyeon, and his protege and future rival, Lee Chang Ho.",1 win & 3 nominations total,https://www.imdb.com/find?q=THE%20MATCH&s=tt
BURGUNDY,88.0,Gala Premieren,Französisch,"en, de",3,Yes,02.10.2026 15:00-16:33 @ Arthouse Le Paris | 04.10.2026 21:00-22:33 @ KINOKONI 1 | 28.09.2026 18:30-20:23 @ Corso 2,6.8,5736,Cédric Klapisch,"Pio Marmaï, Ana Girardot, François Civil","Comedy, Drama",2017,"Three siblings reunite at their home in picturesque Burgundy to save the family vineyard in this tender tale of a new generation finding its own unique blend from acclaimed director Cédric Klapisch (L'Auberge Espagnole). Jean (Pio Marmai), the black sheep of the family, unexpectedly returns home from a decade abroad to reconnect with his hospitalized father. He's welcomed by his strong-willed sister, Juliette (Ana Girardot), who took over the reins of the vineyard after their father fell ill, and Jeremie (Francois Civil), the youngest of the three who has recently married into one of the region's more prestigious wine families. Their father passes shortly after Jean's return, leaving them with the estate and a looming inheritance tax of half a million dollars. As four seasons and two harvests go by, Jean, Juliette, and Jeremie have to learn to reinvent their relationship and trust in each other as they work to preserve the land that ties them together.",N/A,https://www.imdb.com/find?q=BURGUNDY&s=tt
CLUB KID,122.0,Gala Premieren,Englisch,"de, fr",3,Yes,26.09.2026 20:30-22:57 @ Corso 1 | 27.09.2026 14:45-16:52 @ Corso 1 | 29.09.2026 21:15-23:22 @ Corso 1,6.8,111,Jordan Firstman,"Cara Delevingne, Colleen Camp, Diego Calva","Comedy, Drama",2026,A washed-up New York party promoter is forced to turn his life around when an unexpected visitor arrives.,3 nominations total,https://www.imdb.com/find?q=CLUB%20KID&s=tt
MUSK,232.0,Hashtag #artificialintelligenc e,Englisch,,3,Yes,04.10.2026 13:15-17:12 @ Corso 3 | 27.09.2026 12:15-16:12 @ KINOKONI 6 | 29.09.2026 19:30-23:27 @ Arena 3,6.8,165,Andreas Pichler,"John Bernal, Lukasz Krupski, Elon Musk",Documentary,2026,"The documentary offers exclusive insights into Elon Musk's empire. For the first time, confidants, whistleblowers, victims, and former Tesla elites break their silence. Their revelations delve deep into the heart of a race for self-driving cars, a dangerous game that claims human lives and challenges the most powerful titan in the tech world. Achim Oldenburg was an early Tesla enthusiast. But his car crashed into a tree on a straight country road; the car burst into flames. He did not survive. His wife, Anja, is left with grief and, above all, uncertainty. As she tries to understand exactly what happened, she encounters apparently deleted Tesla data, silence, and even more questions. In Florida, a Tesla crashed into a stationary car. 22-year-old Neima Benavides died; her boyfriend, Dillon Angulo, and the Tesla driver survived. The driver confirmed that he had activated Autopilot. Here, too, the families search for answers and encounter gaps in information, cryptic responses, and silent systems. But the Benavides family doesn't give up. With lawyers, they dare what many initially consider hopeless: they take the multi-billion-dollar corporation to court. And after many years, they achieve the unthinkable - a verdict that holds Tesla accountable. While these families fight for justice, a second, even bigger story unfolds in the background. In 2022, Sönke Iwersen, head of the investigative unit at Handelsblatt, receives an anonymous tip. Shortly afterward, he meets whistleblower Lukasz Krupski in Norway and gains access to 100 gigabytes of internal Tesla data: over 3,000 customer complaints about emergency braking, unexpected acceleration, and malfunctions of the Autopilot. For years, experts like Missy Cummings, a former Navy fighter pilot and robotics researcher, have been warning about the risks of this unfinished autonomous driving technology. The US National Highway Traffic Safety Administration (NHTSA) and other institutions are beginning to investigate Tesla's Autopilot system. Former Tesla employees are reporting security vulnerabilities, alleged cover-ups, and repression. When John Bernal, formerly on Tesla's AI team, released videos of serious malfunctions, the FBI suddenly appeared at his door.",1 nomination total,https://www.imdb.com/find?q=MUSK&s=tt
THE HAMMER,77.0,Gala Premieren,Englisch,de,3,Yes,03.10.2026 14:15-15:37 @ Corso 3 | 29.09.2026 18:00-19:52 @ Corso 2 | 30.09.2026 13:30-15:12 @ Corso 4,6.8,2054,Jeff Beesley,"Reba McEntire, Kay Shioma Metchie, Rex Linn","Biography, Crime, Drama",2023,"After a judge passes away under suspicious circumstances, attorney Kim Wheeler is appointed as a judge for Nevada's 5th district, a circuit that stretches between Las Vegas and Reno--a rugged, often desolate area where anything and everything can happen. As the investigation into the death intensifies, Kim's sister, who runs the local brothel, becomes the prime suspect.",2 nominations total,https://www.imdb.com/find?q=THE%20HAMMER&s=tt
BLUE MOON,100.0,Retrospektive: Richard Linklater,Englisch,de,2,Yes,03.10.2026 18:30-20:15 @ Filmpodium | 27.09.2026 20:45-22:30 @ Filmpodium,6.8,16403,Richard Linklater,"Ethan Hawke, Bobby Cannavale, Andrew Scott","Biography, Comedy, Drama",2025,"Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!"".",Nominated for 2 Oscars. 15 wins & 73 nominations total,https://www.imdb.com/find?q=BLUE%20MOON&s=tt
BACKROOMS,110.0,Special Screenings,Englisch,"de, fr",1,Yes,26.09.2026 20:30-22:35 @ Arena 4,6.8,179011,Kane Parsons,"Chiwetel Ejiofor, Renate Reinsve, Mark Duplass","Horror, Sci-Fi, Thriller",2026,"San Jose, California, 1990. Simmering with repressed rage toward his ex-wife and the marriage that never worked, Clark, a failed architect and owner of a struggling furniture store, is about to throw in the towel. After all, between his crushing sense of abandonment and a therapist who can't quite reach him, his world is already crumbling. If only he could fix those pesky electrical glitches in the basement. But life isn't through with Clark yet. When he stumbles into a glowing gap in the wall--a subtle flaw in the fabric of perceived reality--the impossible takes shape. How do you explain to yourself, let alone to others, that everything you knew, felt, or believed dissolves into a monochromatic, musty-yellow nightmare? On the threshold of an eye-opening transition, consumed by the eerie vacancy of an encroaching liminal void, who can accept that there's something else beyond the drywall?",14 nominations total,https://www.imdb.com/find?q=BACKROOMS&s=tt
HOPE,160.0,Gala Premieren,Koreanisch,de,3,Yes,02.10.2026 21:00-23:45 @ KINOKONI 1 | 26.09.2026 21:00-23:45 @ Arthouse Le Paris | 28.09.2026 20:15-23:00 @ Arena 4,6.7,6644,William Nicholson,"Annette Bening, Bill Nighy, Josh O'Connor","Drama, Romance",2019,"The intimate, intense and loving story of Hope Gap charts the life of Grace, shocked to learn her husband is leaving her for another, after 29 years of marriage, and the ensuing emotional fallout the dissolution has on their only grown son. Unraveled and feeling displaced in her small seaside town, Grace ultimately regains her footing and discovers a new, powerful voice.",2 wins & 2 nominations total,https://www.imdb.com/find?q=HOPE&s=tt
COLD WAR 1994,117.0,Signatures,Kantonesisch,"zh, en",3,Yes,01.10.2026 20:00-22:02 @ KINOKONI 2 | 25.09.2026 21:00-23:02 @ Arena 3 | 27.09.2026 19:30-21:32 @ Corso 3,6.6,379,Lok Man Leung,"Daniel Wu, Terrance Lau, Kangren Wu","Action, Thriller",2026,"In 1994, a tycoon's kidnapping shook Hong Kong, threatening its financial standing. Police pursued personal gain while OCID Superintendent Li Wenbin risked everything to navigate conflicting interests and expose the truth.",N/A,https://www.imdb.com/find?q=COLD%20WAR%201994&s=tt
BLIND,60.0,Special Screenings,Schweizerdeutsch,en,1,Yes,27.09.2026 15:30-17:00 @ Arthouse Le Paris,6.6,7298,Clovis Cornillac,"Mélanie Bernier, Clovis Cornillac, Lilou Fogli","Comedy, Romance",2015,"He is a dedicated workaholic who lives and breathes his work. He prefers nothing more than silence. She is an accomplished pianist working on her big-break concert. To her, music and sound is everything. Separated only by a wall, things get interesting.",N/A,https://www.imdb.com/find?q=BLIND&s=tt
LA LUNE AVEC LES DENTS,80.0,Signatures,Französisch,de,1,Yes,03.10.2026 14:15-15:50 @ KINOKONI 6,6.6,46,Michel Soutter,"William Wissmer, Noëlle Frémont, Michel Fidanza",Drama,1967,N/A,N/A,https://www.imdb.com/find?q=LA%20LUNE%20AVEC%20LES%20DENTS&s=tt
THE HOUSEWIFE,102.0,Gala Premieren,Englisch,de,3,Yes,26.09.2026 18:00-20:12 @ Kongresssaal | 27.09.2026 18:00-19:47 @ Arena 4 | 30.09.2026 21:15-23:02 @ Kongresssaal,6.5,44,N/A,"Cesie Alvarez, Kimberly Archie, Garcelle Beauvais","Documentary, Crime",2024,Explores how the Tom Girardi scandal exposed systemic failures in the California legal system and whether justice will ever be a reality for Girardi's victims.,N/A,https://www.imdb.com/find?q=THE%20HOUSEWIFE&s=tt
AI: PROBABLY NOTHING TO WORRY ABOUT,128.0,Hashtag #artificialintelligenc e,Englisch,en,3,Yes,01.10.2026 20:45-22:58 @ Corso 3 | 25.09.2026 20:00-22:33 @ KINOKONI 2 | 26.09.2026 15:15-17:48 @ Arthouse Piccadilly,6.4,7,Nick Holt,N/A,Documentary,2026,"A thriller-paced exploration of ambition and rivalry, confronting the question: Will AI save or destroy humanity?",N/A,https://www.imdb.com/find?q=AI%3A%20PROBABLY%20NOTHING%20TO%20WORRY%20ABOUT&s=tt
COMPANY,92.0,Gala Premieren,Englisch,de,3,Yes,28.09.2026 20:45-22:42 @ Corso 1 | 29.09.2026 18:15-20:12 @ Arthouse Le Paris | 30.09.2026 20:30-22:07 @ Arena 4,6.4,36714,Robert Redford,"Robert Redford, Brit Marling, Stanley Tucci","Drama, Thriller",2012,"After years in hiding, ex-Weather Underground militant, Nick Sloan, a.k.a. Jim Grant, learns about his old compatriot's arrest for a bank robbery turned deadly in the 1970s, for which he is wanted as an accomplice. This puts the ambitious young local reporter, Ben Shepard, on the scent of a story that exposes Nick as well. As such, Nick goes on the run while taking his daughter to safety. With that accomplished, Nick stays one step ahead of the F.B.I. while pursuing a faint hope to clear his name. Meanwhile, Shepard digs deeper into the case as he discovers the true complexities of another times' determined ideals, even as Nick faces their consequences with another.",2 wins & 1 nomination total,https://www.imdb.com/find?q=COMPANY&s=tt
BABIES,96.0,Gala Premieren,Englisch,de,3,Yes,01.10.2026 18:00-19:41 @ Kongresssaal | 03.10.2026 18:00-19:41 @ Kongresssaal | 27.09.2026 20:45-22:46 @ Kongresssaal,6.3,1516,Yugo Sakamoto,"Akari Takaishi, Saori Izawa, Atom Mizuishi","Action, Comedy, Crime",2023,"As teenage assassins Chisato and Mahiro are suspended by their guild due to a rules violation, they are hunted down by two brothers and fellow assassins looking to kill them for a large bounty.",1 nomination total,https://www.imdb.com/find?q=BABIES&s=tt
EVERYTIME,119.0,Signatures,"Deutsch, Spanisch","de, fr",3,Yes,01.10.2026 16:00-18:04 @ Corso 4 | 04.10.2026 20:30-22:34 @ KINOKONI 2 | 26.09.2026 15:30-17:54 @ KINOKONI 6,6.3,30,Sandra Wollner,"Birgit Minichmayr, Lotte Shirin Keiling, Tristan López",Drama,2026,"Follows a mother, her daughter, and a teenage boy blamed for a tragic death as they travel to Tenerife together, confronting grief, blame, and forgiveness on a family holiday that never happened.",1 win total,https://www.imdb.com/find?q=EVERYTIME&s=tt
GHOST IN THE MACHINE,96.0,Hashtag #artificialintelligenc e,Englisch,en,3,Yes,01.10.2026 17:30-19:11 @ KINOKONI 2 | 04.10.2026 13:15-14:56 @ KINOKONI 2 | 26.09.2026 17:30-19:31 @ Corso 3,6.3,26,Valerie Veatch,N/A,Documentary,2026,"Artificial intelligence's unsung beginnings are found in power rather than computers, illuminating the dreams that underlie the hype that brought us to this point and our future.",1 nomination total,https://www.imdb.com/find?q=GHOST%20IN%20THE%20MACHINE&s=tt
A GIRL UNKNOWN,125.0,Spielfilm- Wettbewerb,Chinesisch,"en, de, fr",4,Yes,02.10.2026 17:45-20:15 @ KINOKONI 6 | 03.10.2026 18:15-20:45 @ Corso 4 | 24.09.2026 20:15-22:25 @ Arthouse Piccadilly | 28.09.2026 15:00-17:10 @ KINOKONI 6,6.2,41,Jing Zou,"Gengxi Li, Cao Ruofan, Jiani Shen",Drama,2025,A Chinese woman's journey from age six to her thirties across three families reveals generations of abandoned girls in China (1980s-2000s). An intimate coming-of-age story exploring existential pain and self-discovery.,5 wins & 1 nomination total,https://www.imdb.com/find?q=A%20GIRL%20UNKNOWN&s=tt
CLARISSA,134.0,Spielfilm- Wettbewerb,Englisch,"en, de",4,Yes,02.10.2026 15:15-17:34 @ Corso 4 | 03.10.2026 16:45-19:44 @ KINOKONI 6 | 27.09.2026 17:15-19:54 @ KINOKONI 6 | 28.09.2026 20:30-23:09 @ Corso 4,6.2,19,"Arie Esiri, Chuko Esiri","Ayo Edebiri, Danny Sapani, Sophie Okonedo",Drama,2026,Based on Mrs Dalloway. Follows a Lagos society wife preparing for a party while reflecting on her youth and the choices that led her to marry a respected man instead of her poet boyfriend.,2 nominations total,https://www.imdb.com/find?q=CLARISSA&s=tt
A TALENT FOR MURDER,106.0,Gala Premieren,Englisch,"de, fr",3,Yes,01.10.2026 18:00-20:01 @ Corso 1 | 02.10.2026 18:00-19:51 @ Arena 4 | 30.09.2026 20:45-22:56 @ Corso 1,6.2,167,Alvin Rakoff,"Angela Lansbury, Laurence Olivier, Hildegard Neil","Drama, Mystery, Comedy",1984,A famed mystery writer (Dame Angela Lansbury) and her doctor ex-lover (Sir Laurence Olivier) solve her daughter-in-law's murder.,N/A,https://www.imdb.com/find?q=A%20TALENT%20FOR%20MURDER&s=tt
MOSCAS,99.0,Signatures,Spanisch,"de, fr",3,Yes,02.10.2026 18:15-20:19 @ KINOKONI 1 | 04.10.2026 15:15-16:59 @ Corso 2 | 30.09.2026 21:00-23:04 @ KINOKONI 1,6.2,50,Fernando Eimbcke,"Teresita Sánchez, Hugo Ramírez, Bastian Escobar","Comedy, Drama",2026,"When Olga has to rent out a room in her apartment to a father, she forms an unlikely bond with his nine-year old son when, unexpectedly, their lives become intertwined.",1 nomination total,https://www.imdb.com/find?q=MOSCAS&s=tt
