Film,Film Länge (Min),Sektion,Sprache,Untertitel,Screening Count,Has Evening/Weekend Screening,Screenings,IMDb Rating,IMDb Votes,Director,Stars,Genre,First Release Year,Plot,Awards,IMDb Search Link
KNIFE: THE ATTEMPTED MURDER OF SALMAN RUSHDIE,107.0,NOW/FUTURE,Englisch,en,3,Yes,02.10.2026 13:00-14:52 @ Arthouse Piccadilly | 03.10.2026 19:00-20:52 @ Corso 3 | 26.09.2026 18:30-20:22 @ KINOKONI 6,,0,Alex Gibney,Salman Rushdie,Documentary,2026,"New footage by Rushdie's wife shows his recovery path after the attack, capturing both physical healing and renewed hope. Based on his memoir ""Knife: Meditations After an Attempted Murder.",N/A,https://www.imdb.com/find?q=KNIFE%3A%20THE%20ATTEMPTED%20MURDER%20OF%20SALMAN%20RUSHDIE&s=tt
LA BOLA NEGRA,155.0,Signatures,"Spanisch, Französisch",de,3,Yes,01.10.2026 17:45-20:25 @ KINOKONI 1 | 03.10.2026 15:15-17:55 @ Arthouse Le Paris | 24.09.2026 20:15-22:55 @ KINOKONI 1,,0,"Javier Ambrossi, Javier Calvo","Penélope Cruz, Miguel Bernardeau, Lola Dueñas",Drama,2026,"Explores what it means to be gay throughout different eras, focusing on ""three existences"" that are connected through themes of sexuality, desire, pain, and inheritance.",N/A,https://www.imdb.com/find?q=LA%20BOLA%20NEGRA&s=tt
LIEBLINGSMENSCHEN,108.0,Gala Premieren,Deutsch,,3,Yes,01.10.2026 18:30-20:43 @ Arena 4 | 03.10.2026 16:00-17:53 @ Corso 1 | 30.09.2026 18:30-20:43 @ Arthouse Le Paris,,0,Vlady Valentin Oszkiel,Gabriela Lindl,Drama,2021,N/A,N/A,https://www.imdb.com/find?q=LIEBLINGSMENSCHEN&s=tt
LIFE SUPPORT,90.0,NOW/FUTURE,Englisch,en,3,Yes,02.10.2026 15:45-17:20 @ KINOKONI 3 | 28.09.2026 18:00-19:55 @ KINOKONI 1 | 30.09.2026 20:30-22:05 @ Arthouse Piccadilly,,0,Sudhir Mishra,"Rahul Bhatt, Rasika Dugal, Vipin Sharma",Short,2017,N/A,N/A,https://www.imdb.com/find?q=LIFE%20SUPPORT&s=tt
LONG SHOT - A FILIPINO CURLING TALE,112.0,Gala Premieren,"Deutsch, Schweizerdeutsch, Englisch",de,3,No,01.10.2026 15:45-18:02 @ Corso 2 | 02.10.2026 15:00-17:17 @ Arena 3 | 30.09.2026 17:45-20:07 @ Corso 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=LONG%20SHOT%20-%20A%20FILIPINO%20CURLING%20TALE&s=tt
LOW LIES THE LAND,92.0,NOW/FUTURE,Italienisch,en,3,Yes,04.10.2026 20:15-21:52 @ Corso 3 | 26.09.2026 21:15-23:12 @ Corso 4 | 27.09.2026 21:15-23:12 @ KINOKONI 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=LOW%20LIES%20THE%20LAND&s=tt
MATERIA PRIMA,89.0,NOW/FUTURE,"Englisch, Quechua, Spanisch, Aymara",de,3,Yes,03.10.2026 16:45-18:19 @ Corso 3 | 28.09.2026 15:30-17:24 @ Arthouse Piccadilly | 29.09.2026 21:00-22:54 @ KINOKONI 2,,0,Jens Schanze,N/A,Documentary,2026,"Huge lithium deposits in Bolivia are raising global interest. Negotiations on raw material extraction begin, 500 years after the start of colonisation. A historic document from the 16th century puts the present into perspective.",1 win & 1 nomination total,https://www.imdb.com/find?q=MATERIA%20PRIMA&s=tt
MISTY GREEN,104.0,Sounds,Englisch,en,3,Yes,04.10.2026 18:00-19:49 @ KINOKONI 2 | 28.09.2026 20:45-22:34 @ Arena 3 | 29.09.2026 18:00-19:49 @ Arena 4,,0,Jack Foster,N/A,"Animation, Sci-Fi",2017,"A young girl in another solar system asks an innocent question that sets off a chain reaction of adventure, destruction and tragedy.",N/A,https://www.imdb.com/find?q=MISTY%20GREEN&s=tt
MUMBO JUMBO,83.0,ZFF für Kinder,Deutsch (Synchronfassung,,3,Yes,03.10.2026 09:30-10:58 @ KINOKONI 6 | 27.09.2026 09:30-10:58 @ Arena 4 | 30.09.2026 13:00-14:28 @ Arena 3,,0,Karsten Kiilerich,N/A,Animation,2026,"In an adventurous journey Mumbo Jumbo magically grows into a giant size. Now, with his three friends he has to go on a dangerous journey to find the scary witch Baba Yaga, and ask her to turn him small again.",N/A,https://www.imdb.com/find?q=MUMBO%20JUMBO&s=tt
NINO – UN FILM SU NINO ROTA,117.0,Sounds,"Italienisch, Englisch, Französisch, Koreanisch",en,3,Yes,02.10.2026 17:45-20:07 @ Arthouse Piccadilly | 03.10.2026 14:30-16:52 @ KINOKONI 2 | 27.09.2026 20:30-22:52 @ Arthouse Piccadilly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=NINO%20%E2%80%93%20UN%20FILM%20SU%20NINO%20ROTA&s=tt
ONCE UPON A TIME IN HARLEM,100.0,Signatures,Englisch,en,3,Yes,01.10.2026 18:15-20:00 @ Corso 3 | 02.10.2026 16:00-17:45 @ Corso 3 | 24.09.2026 18:00-19:45 @ Arthouse Piccadilly,,10,N/A,Arna Bontemps,Documentary,2026,"A decade post-death, filmmaker William Greaves reveals his final work: footage of a 1972 gathering he arranged with Harlem Renaissance legends, which he deemed his most significant capture.",N/A,https://www.imdb.com/find?q=ONCE%20UPON%20A%20TIME%20IN%20HARLEM&s=tt
OUR SHARE OF SAND,95.0,NOW/FUTURE,"Englisch, Hindi, Marathi",en,3,Yes,01.10.2026 18:45-20:25 @ Corso 4 | 26.09.2026 17:45-19:45 @ KINOKONI 2 | 27.09.2026 18:45-20:45 @ KINOKONI 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=OUR%20SHARE%20OF%20SAND&s=tt
Où EST AVA ?,92.0,Gala Premieren,Französisch,"de, en",3,Yes,01.10.2026 15:15-17:12 @ KINOKONI 1 | 04.10.2026 15:30-17:27 @ KINOKONI 2 | 28.09.2026 21:00-23:02 @ Corso 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=O%C3%B9%20EST%20AVA%20%3F&s=tt
POSSIBLE LOVE,164.0,Gala Premieren,Koreanisch,"de, en",3,Yes,24.09.2026 20:30-23:19 @ Arthouse Le Paris | 25.09.2026 18:00-20:49 @ Arena 4 | 29.09.2026 20:30-23:19 @ Arena 4,,0,Brandon McWhorter,"Sean Bell, Darryl Henderson-Mcknight, Candace Johnson","Short, Comedy",2024,N/A,N/A,https://www.imdb.com/find?q=POSSIBLE%20LOVE&s=tt
RITORNO A BUENOS AIRES,104.0,Gala Premieren,Italienisch,"de, fr",3,Yes,02.10.2026 20:30-22:19 @ Arena 4 | 25.09.2026 20:45-22:54 @ Arthouse Le Paris | 26.09.2026 12:30-14:39 @ KINOKONI 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=RITORNO%20A%20BUENOS%20AIRES&s=tt
SHAUN THE SHEEP: THE BEAST OF MOSSY BOTTOM,91.0,"Signatures, ZFF für Kinder",Englisch,de,3,Yes,26.09.2026 16:15-17:51 @ Corso 2 | 27.09.2026 09:45-11:41 @ Corso 1 | 27.09.2026 14:00-15:56 @ Arena 3,,0,"Steve Cox, Matthew Walker","John Sparkes, Justin Fletcher, Kate Harbour","Animation, Comedy, Family",2026,"The new adventure sees the residents of Mossy Bottom Farm looking forward to Halloween - until the clumsy Farmer trashes the Flock's beloved pumpkin patch. When Shaun turns mad scientist to fix the problem, things rapidly spiral out of control, leading to a wild beast roaming the woods.",N/A,https://www.imdb.com/find?q=SHAUN%20THE%20SHEEP%3A%20THE%20BEAST%20OF%20MOSSY%20BOTTOM&s=tt
SHEEP IN THE BOX,126.0,Hashtag #artificialintelligenc e,Japanisch,"de, fr",3,Yes,03.10.2026 21:15-23:26 @ Corso 4 | 04.10.2026 13:00-15:11 @ KINOKONI 6 | 30.09.2026 20:15-22:26 @ KINOKONI 6,,0,Hirokazu Koreeda,"Haruka Ayase, Kotaro Daigo",Drama,2026,N/A,N/A,https://www.imdb.com/find?q=SHEEP%20IN%20THE%20BOX&s=tt
SI TU PENSES BIEN,94.0,Gala Premieren,Französisch,de,3,Yes,01.10.2026 21:15-22:54 @ Arena 4 | 29.09.2026 20:45-22:44 @ Arthouse Le Paris | 30.09.2026 15:45-17:24 @ KINOKONI 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=SI%20TU%20PENSES%20BIEN&s=tt
SUCCEDERà QUESTA NOTTE,103.0,Gala Premieren,"Italienisch, Englisch, Spanisch",de,3,Yes,03.10.2026 18:30-20:18 @ Arthouse Le Paris | 25.09.2026 18:15-20:23 @ Corso 1 | 26.09.2026 15:15-17:23 @ KINOKONI 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=SUCCEDER%C3%A0%20QUESTA%20NOTTE&s=tt
TECHPLOMACY,93.0,Hashtag #artificialintelligenc e,"Englisch, Dänisch",en,3,Yes,04.10.2026 16:00-17:38 @ Corso 4 | 25.09.2026 20:45-22:43 @ Corso 4 | 26.09.2026 13:00-14:58 @ KINOKONI 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=TECHPLOMACY&s=tt
TENZING,128.0,Gala Premieren,Englisch,de,3,Yes,24.09.2026 17:45-20:08 @ Corso 1 | 27.09.2026 15:00-17:13 @ Kongresssaal | 28.09.2026 18:30-20:43 @ Kongresssaal,,0,Jennifer Peedom,"Willem Dafoe, Tom Hiddleston, Caitríona Balfe","Adventure, Biography, Drama",2026,"In 1953, Tenzing Norgay was at the heart of the successful British Everest expedition as leader of the Sherpas whose hard work brought victory and as one of the two lead climbers to reach the top. But behind Tenzing's radiant smile is an untold story of courage, tragedy, and ambition, of a man who overcame incredible odds just to reach the bottom of the mountain. Born in a sacred Tibetan valley in the shadow of Everest, Tenzing's long journey led him from life as an illiterate yak herder to become the friend of Nehru, feted by monarchs and presidents all over the world.",N/A,https://www.imdb.com/find?q=TENZING&s=tt
THE ONLY LIVING PICKPOCKET IN NEW YORK,88.0,Gala Premieren,Englisch,de,3,Yes,26.09.2026 18:00-19:58 @ Corso 1 | 27.09.2026 18:15-20:08 @ Arena 3 | 28.09.2026 18:00-19:33 @ Arena 4,,0,Noah Segan,"Karina Arroyave, Tommy Bayiokos, Steve Buscemi","Crime, Sci-Fi, Thriller",2026,"When a theft goes awry, a veteran pickpocket is sent on a mission through New York to reclaim it.",N/A,https://www.imdb.com/find?q=THE%20ONLY%20LIVING%20PICKPOCKET%20IN%20NEW%20YORK&s=tt
ULTIMATE THUNDER,99.0,Sounds,Englisch,en,3,Yes,02.10.2026 19:30-21:14 @ Corso 3 | 29.09.2026 18:15-20:19 @ KINOKONI 2 | 30.09.2026 18:15-20:19 @ KINOKONI 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=ULTIMATE%20THUNDER&s=tt
UN BON PETIT SOLDAT,102.0,Gala Premieren,Französisch,de,3,Yes,01.10.2026 21:00-22:47 @ Arthouse Le Paris | 03.10.2026 15:15-17:02 @ KINOKONI 1 | 04.10.2026 18:15-20:02 @ KINOKONI 6,,0,Stéphane Brizé,"Alba Rohrwacher, Vincent Lindon, Sharif Andoura",Drama,2026,N/A,N/A,https://www.imdb.com/find?q=UN%20BON%20PETIT%20SOLDAT&s=tt
VIOLETTE,138.0,Gala Premieren,Französisch,de,3,Yes,01.10.2026 20:30-23:18 @ Corso 1 | 02.10.2026 21:15-23:38 @ Corso 2 | 03.10.2026 13:00-15:23 @ Corso 2,,0,Wang-Him Yip,"Annelore Crollet, Camille Kerstenne-Spanier, Micha Pletinckx, Axel Gatt Rutter","Short, Drama",2018,"During summer time, a 11-year-old girl with hearing impairment, seizes a chance to hang out with a special friend whom she leans on, but an unexpected event recurs her haunted past.",N/A,https://www.imdb.com/find?q=VIOLETTE&s=tt
WE ARE BORN GOOD,96.0,Signatures,Kantonesisch,"zh, en",3,Yes,25.09.2026 18:00-19:46 @ KINOKONI 3 | 26.09.2026 15:30-17:11 @ KINOKONI 2 | 29.09.2026 20:00-21:41 @ Corso 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=WE%20ARE%20BORN%20GOOD&s=tt
WILD HORSE NINE,118.0,Gala Premieren,Englisch,"de, fr",3,Yes,04.10.2026 18:00-20:03 @ Kongresssaal | 25.09.2026 21:00-23:28 @ Corso 1 | 27.09.2026 18:00-20:03 @ Kongresssaal,,0,Martin McDonagh,"Sam Rockwell, Steve Buscemi, Parker Posey","Comedy, Crime, Drama",2026,"Shortly before the 1973 Chilean coup, CIA agents Chris (John Malkovich) and Lee (Sam Rockwell) are dispatched from Santiago to Easter island by their bureau chief, MJ (Steve Buscemi). Amongst the Island's iconic statues, and as the longtime partners wrestle with their dark pasts and present conspiracies, Chris's newfound bond with a pair of rebellious students (Mariana di Girolamo and Ailín Salas) threatens to send everyone's trip to this remote paradise sideways.",N/A,https://www.imdb.com/find?q=WILD%20HORSE%20NINE&s=tt
DAS GETRäUMTE ABENTEUER,167.0,Signatures,Bulgarisch,"de, fr",2,No,01.10.2026 12:15-15:27 @ KINOKONI 6 | 29.09.2026 17:30-20:42 @ KINOKONI 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=DAS%20GETR%C3%A4UMTE%20ABENTEUER&s=tt
GARDI HUTTER - DA ZERO,80.0,Signatures,"Deutsch, Schweizerdeutsch, Italienisch",,2,Yes,01.10.2026 13:30-15:15 @ Corso 2 | 30.09.2026 18:15-20:05 @ Corso 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.imdb.com/find?q=GARDI%20HUTTER%20-%20DA%20ZERO&s=tt
GURIA,118.0,Signatures,Georgisch,"de, fr",2,Yes,02.10.2026 20:00-22:23 @ KINOKONI 2 | 30.09.2026 18:15-20:18 @ Corso 4,,0,"Brian Marc, Pace Rivers",N/A,"Documentary, Short",2024,N/A,N/A,https://www.imdb.com/find?q=GURIA&s=tt
